ID;NOMBRE DEL CASO;INSTRUMENTO NORMATIVO;TIPO DE COMPROMISO;DESCRIPCIÓN DEL COMPROMISO;UNIDAD TERRITORIAL;REGIÓN;PROVINCIA;DISTRITO(S);ESTADO ACTUAL DEL COMPROMISO;RESPONSABLE;NIVEL DE GOBIERNO RESPONSABLE FINAL;LONGITUD;LATITUD
1;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SAN JOSÉ DE NUEVA ESPERANZAMEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA CC.NN DE SAN JOSÉ DE NUEVA ESPERANZA DISTRITO DE TROMPETEROS, PROVINCIA DE LORETO, REGIÓN DE LORETO;UT AMAZONÍA;LORETO;LORETO;TROMPETEROS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-75.0606;-3.805
2;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SANTA ROSAMEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA CC.NN SANTA ROSA DISTRITO DE TROMPETEROS, PROVINCIA DE LORETO, REGIÓN DE LORETO;UT AMAZONÍA;LORETO;LORETO;TROMPETEROS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-75.0606;-3.805
3;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;PAMPA HERMOSAAMPLIACIÓN Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO DE PAMPA HERMOSA”DISTRITO DE TROMPETEROS, PROVINCIA DE LORETO, REGIÓN LORETO;UT AMAZONÍA;LORETO;LORETO;TROMPETEROS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-75.0606;-3.805
4;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;BELÉN DE PLANTANAYACUMEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA CC.NN BELÉN DISTRITO DE TROMPETEROS, PROVINCIA DE LORETO, REGIÓN DE LORETO.;UT AMAZONÍA;LORETO;LORETO;TROMPETEROS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-75.0606;-3.805
5;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SAN FERNANDOMEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD NATIVA SAN FERNANDO, DISTRITO DE ANDOAS, PROVINCIA DE DATEM DEL MARAÑON, REGION LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.4336;-3.4755
6;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;BUENA VISTAMEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD NATIVA BUENA VISTA, DISTRITO DE ANDOAS, PROVINCIA DE DATEM DEL MARAÑON, REGION LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.4336;-3.4755
7;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;PUERTO ALEGREMEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD NATIVA PUERTO ALEGRE, DISTRITO DE ANDOAS, PROVINCIA DEL DATEM DEL MARAÑÓN, REGIÓN LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.4336;-3.4755
8;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;BOLOGNESIMEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD NATIVA BOLOGNESI, DISTRITO DE ANDOAS, PROVINCIA DE DATEM DEL MARAÑON, REGION LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.4336;-3.4755
9;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SABALOYACUMEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD NATIVA SABALOYACU, DISTRITO DE ANDOAS, PROVINCIA DEL DATEM DEL MARAÑÓN, REGIÓN LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.4336;-3.4755
10;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SAUKIMEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA CC.NN SAUKI DISTRITO DE TROMPETEROS, PROVINCIA DE LORETO, REGIÓN DE LORETO.;UT AMAZONÍA;LORETO;LORETO;TROMPETEROS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-75.0606;-3.805
11;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SANTA MARÍA DE MANCHARIMEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD NATIVA SANTA MARIA DE MANCHARI, DISTRITO DE ANDOAS, PROVINCIA DE DATEM DEL MARAÑON, REGION LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.4336;-3.4755
12;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;NUEVA VALENCIAMEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA CC.NN NUEVA VALENCIA DISTRITO DE TROMPETEROS, PROVINCIA DE LORETO, REGIÓN DE LORETO;UT AMAZONÍA;LORETO;LORETO;TROMPETEROS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-75.0606;-3.805
