ID;IDENTIFICADOR;NOMBRE DEL CASO;REGIÓN;PROVINCIA;DISTRITO(S);UNIDAD TERRITORIAL;DOCUMENTO DE CREACIÓN;DESCRIPCIÓN DEL DOCUMENTO  DE CREACIÓN ;FECHA EN LA QUE CULMINA EL ESPACIO DE DIALOGO;ENTIDENTIDAD QUE PRESIDE EL ESPACIOAD ;SECRETARIA TECNICA;LONGITUD;LATITUD
1;1001 - 2024;GRUPO DE TRABAJO PARA IMPULSAR EL DESARROLLO DE LOS PUEBLOS INDÍGENAS Y COMUNIDADES DE LA CUENCA DEL RÍO TIGRE, PROVINCIA DE LORETONAUTA, DEPARTAMENTO DE LORETO;LORETO;LORETO;;UT AMAZONÍA;RESOLUCIÓN DE SECRETARÍA ;RSGSD N° 001-2026-PCM/SGSD;21/07/2026;PCM;SSGD-SGSD;-73.8875;-4.38998
2;1021 - 2026; GRUPO DE TRABAJO PARA LA ATENCIÓN DE LAS PROBLEMÁTICAS DE SUPERPOSICIONES TERRITORIALES Y SEGURIDAD DE LA PROVINCIA DE ATALAYA, DEPARTAMENTO DE UCAYALI;UCAYALI;ATALAYA;;UT AMAZONÍA;"RESOLUCIÓN MINISTERIAL 
";R.M. N° 023-2026-PCM;28/08/2026;PCM;SGSD;-73.22;-9.3615
3;892-2021;MESA TÉCNICA DE DIÁLOGO DE ALTO NIVEL EN EL DISTRITO DE AQUIA, PROVINCIA DE BOLOGNESI, DEPARTAMENTO DE ANCASH;ANCASH;BOLOGNESI;AQUIA;UT NORTE;"RESOLUCIÓN MINISTERIAL 
";RM N° 293-2021-PCM;31/08/2026;PCM;SGSD;-77.6921;-9.4212
4;1022-2026;GRUPO DE TRABAJO PARA EL DESARROLLO INTEGRAL DE LA PROVINCIA DE PURÚS, DEPARTAMENTO DE UCAYALI;UCAYALI;PURUS;;UT AMAZONÍA;"RESOLUCIÓN MINISTERIAL 
";RM N° 050-2026-PCM;14/09/2026;PCM;SGSD;-70.7097;-9.7722
5;1025-2026;MESA TÉCNICA PARA EL DESARROLLO DE LOS DISTRITOS DE MEGANTONI, PROVINCIA DE LA CONVENCIÓN, DEPARTAMENTO DEL CUSCO Y SEPAHUA, PROVINCIA DE ATALAYA, DEPARTAMENTO DE UCAYALI;CUSCO/UCAYALI;LA CONVENCIÓN/ATALAYA;;UT SURESTE/UT AMAZONÍA;DECRETO SUPREMO;D.S. Nº 058-2026-PCM;17/10/2026;PCM;SGSD;-72.944;-11.275
6;553-2017;ESPACIO DE DIÁLOGO PARA EL DESARROLLO DE LA PROVINCIA DE COTABAMBAS Y DISTRITO DE PROGRESO DE LA PROVINCIA DE GRAU DEL DEPARTAMENTO DE APURÍMAC;APURIMAC;COTABAMBAS;PROGRESO;UT SURESTE (CVS);RESOLUCIÓN MINISTERIAL ;RM N° 264-2021 PCM;13/11/2026;PCM;SGSD;-72.3355;-14.0893
7;749 - 2017;COMITÉ DE MONITOREO, SEGUIMIENTO Y VERIFICACIÓN DE ACUERDOS DE LA MESA DE DIÁLOGO PARA ANALIZAR LA PROBLEMÁTICA MINERA DEL DEPARTAMENTO DE MOQUEGUA;MOQUEGUA;MARISCAL NIETO;TORATA;UT SUROESTE;RESOLUCIÓN DE SECRETARÍA ;RS N° 003-2021-PCM/SGSD;30/11/2026;GORE MOQUEGUA;SGSD;-70.71684;-17.0056
8;699 - 2017;MESA DE DIÁLOGO PARA ATENDER LA PROBLEMÁTICA DE LA CUENCA DEL RÍO CORALAQUE MEDIANTE EL PLAN DE ACCIÓN INTEGRADO;MOQUEGUA;MARISCAL NIETO, GENERAL SÁNCHEZ CERRO;;UT SUROESTE;RESOLUCIÓN DE SECRETARÍA ;RSGSD Nº 010-2025-PCM/SGSD;31/12/2026;SGSD;MINEM;-70.822;-16.759
9;1011-2025;GRUPO DE TRABAJO PARA ATENCIÓN DE LA PROBLEMÁTICA DE LA CUENCA DEL RÍO RAMIS DEL DEPARTAMENTO DE PUNO;PUNO;AZÁNGARO;;UT SURESTE;RESOLUCIÓN DE SECRETARÍA;RS N.° 011-2024-PCM/SGSD;31/12/2026;PCM;SSGD-SGSD-PCM (CON APOYO DEL GL AZANGARO);-70.1517;-14.8001
10;1116-2025;GRUPO DE TRABAJO PARA IMPULSAR EL DESARROLLO INTEGRAL DE LOS DISTRITOS DE TAPAIRIHUA Y POCOHUANCA, DE LA PROVINCIA DE AYMARAES, DEL DEPARTAMENTO DE APURÍMAC;APURIMAC;AYMARAES;;UT SURESTE;RESOLUCIÓN DE SECRETARÍA ;RSGSD Nº 007-2025-PCM/SGSD;31/12/2026;PCM;SSGD-SGSD-PCM (CON APOYO DE LAS MD DE TAPAIRIHUA Y POCOHUANCA);-72.9493;-14.0082
